trade_name,search_query
CELERY NAKED RPC,celery
POTATOES IDAHO BAKER,idaho baker potato
ASPARAGUS STANDARD 11LB,asparagus
ONIONS RED JUMBO CTN 40#,red onion
TOMATOES ROMA LUG,roma tomato
ONIONS YELLOW JUMBO 1015,sweet onion
PEPPERS JALAPENO,jalapeno pepper
CILANTRO VALUE,cilantro
APPLES FUJI EACH,fuji apple
APPLES FUJI POLY,fuji apples 3 lb bag
APL COSMIC CRSP EACH,cosmic crisp apple
APL COSMIC CRSP BAG,cosmic crisp apples 3 lb bag
APPLES GALA EURO 50 CT,gala apple
APPLES GALA POLY,gala apples 3 lb bag
CLASSIC GARDEN SALAD,garden salad
SHRD ICEBERG LETTUCE,shredded iceberg lettuce
CUTPEELED BBY CARROT,baby carrots
ONIONS WHITE JUMBO BULK,white onion
CABBAGE GREEN MEDIUM RPC,green cabbage
CUCUMBERS,cucumber
GRAPES WHITE SDLS BAG,green seedless grapes
GRAPES RED SDLS BAG,red seedless grapes
GRAPES BLACK SDLS BAG,black seedless grapes
PEPPERS BELL GREEN RPC,green bell pepper
POTATOES RUSSET,russet potatoes
PEPPERS RED BELL,red bell pepper
TOMATOES BEEFSTEAK,beefsteak tomato
TOMATOES GRAPE 10OZ,grape tomatoes 10 oz
ONIONS GREEN ICLS BAG RPC,green onions
TOMATOES BUNCHED,tomatoes on the vine
STRAWBERRIES,strawberries
